# Every foreign pid of every batch, with every state observed for it

Settler ruling R13 (W5 T8.9r fix round 3): R2' asks for every foreign pid and state seen in any snapshot, listed -- not a count and a busiest-five. This is that list, written by `scripts/idle_proof.py` from the same snapshots the fractions are computed from.

States are the UNION of `/proc/<pid>/stat`'s single character (`FOREIGN_TICK`) and `ps`'s full string (`FOREIGN_PS`). A pid marked **transient** was present in some snapshot of the batch but not in both ends, so it has no CPU delta. `delta` is ticks/clk across the batch window for pids present at both ends.

## `10-ipmleg-perf.log` / `ipmleg-perf`  (5 snapshots)

| pid | states seen | delta (s) | presence | command |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 1.25 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.94 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.01 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 14620 | `S,Ss` | 0.12 | both ends | `tmux:` |
| 14621 | `S,Ss` | 0.00 | both ends | `fish` |
| 16979 | `R,S,Sl+` | 46.72 | both ends | `claude` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.14 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 400249 | `S` | - | **transient** | `sleep` |
| 524599 | `S` | - | **transient** | `systemd-userwor` |
| 524668 | `S` | - | **transient** | `systemd-userwor` |
| 524669 | `S` | - | **transient** | `systemd-userwor` |
| 533443 | `S,Ss` | - | **transient** | `bash` |
| 533445 | `S` | - | **transient** | `sleep` |
| 534021 | `S` | - | **transient** | `sleep` |
| 534870 | `S` | - | **transient** | `systemd-userwor` |
| 534917 | `S` | - | **transient** | `systemd-userwor` |
| 534918 | `S` | - | **transient** | `systemd-userwor` |
| 535003 | `S` | - | **transient** | `sleep` |
| 535548 | `S` | - | **transient** | `systemd-userwor` |
| 535605 | `S` | - | **transient** | `systemd-userwor` |
| 535606 | `S` | - | **transient** | `systemd-userwor` |
| 535691 | `S` | - | **transient** | `sleep` |

## `30-sqpwall-ipm-a00.log` / `sqpwall-ipm-a00`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.00 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.00 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.00 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
| 968 | `S,Ss` | 0.00 | both ends | `systemd-logind` |
| 971 | `S` | 0.00 | both ends | `avahi-daemon` |
| 989 | `S,SNs` | 0.00 | both ends | `alsactl` |
| 997 | `S,Ssl` | 0.00 | both ends | `abrtd` |
| 1048 | `S,Ssl` | 0.00 | both ends | `ModemManager` |
| 1082 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1083 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1084 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1264 | `S,Ss` | 0.00 | both ends | `wpa_supplicant` |
| 1283 | `S,Ss` | 0.00 | both ends | `cupsd` |
| 1285 | `S,Ssl` | 0.00 | both ends | `gssproxy` |
| 1287 | `S,Ss` | 0.00 | both ends | `sshd` |
| 1289 | `S,Ssl` | 0.00 | both ends | `tailscaled` |
| 1291 | `S,Ssl` | 0.00 | both ends | `tuned` |
| 1302 | `S` | 0.00 | both ends | `dbus` |
| 1303 | `S` | 0.00 | both ends | `dbus` |
| 1369 | `S,Ssl` | 0.01 | both ends | `tuned-ppd` |
| 4117 | `S,Ssl` | 0.00 | both ends | `rsyslogd` |
| 4145 | `S,Ss` | 0.00 | both ends | `atd` |
| 4151 | `S,Ss` | 0.00 | both ends | `crond` |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 0.04 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.03 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.00 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.01 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 535548 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535605 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535606 | `S` | 0.00 | both ends | `systemd-userwor` |
| 536174 | `S` | 0.00 | both ends | `bash` |
| 536175 | `S` | 0.00 | both ends | `tail` |
| 536176 | `S` | 0.00 | both ends | `2.1.270` |

## `30-sqpwall-ipm-a01.log` / `sqpwall-ipm-a01`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.00 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.00 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.00 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
| 968 | `S,Ss` | 0.00 | both ends | `systemd-logind` |
| 971 | `S` | 0.00 | both ends | `avahi-daemon` |
| 989 | `S,SNs` | 0.00 | both ends | `alsactl` |
| 997 | `S,Ssl` | 0.00 | both ends | `abrtd` |
| 1048 | `S,Ssl` | 0.00 | both ends | `ModemManager` |
| 1082 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1083 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1084 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1264 | `S,Ss` | 0.00 | both ends | `wpa_supplicant` |
| 1283 | `S,Ss` | 0.00 | both ends | `cupsd` |
| 1285 | `S,Ssl` | 0.00 | both ends | `gssproxy` |
| 1287 | `S,Ss` | 0.00 | both ends | `sshd` |
| 1289 | `S,Ssl` | 0.01 | both ends | `tailscaled` |
| 1291 | `S,Ssl` | 0.00 | both ends | `tuned` |
| 1302 | `S` | 0.00 | both ends | `dbus` |
| 1303 | `S` | 0.00 | both ends | `dbus` |
| 1369 | `S,Ssl` | 0.00 | both ends | `tuned-ppd` |
| 4117 | `S,Ssl` | 0.00 | both ends | `rsyslogd` |
| 4145 | `S,Ss` | 0.00 | both ends | `atd` |
| 4151 | `S,Ss` | 0.00 | both ends | `crond` |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 0.05 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.04 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.00 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.00 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 535548 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535605 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535606 | `S` | 0.00 | both ends | `systemd-userwor` |
| 537241 | `S` | 0.00 | both ends | `bash` |
| 537242 | `S` | 0.00 | both ends | `tail` |
| 537243 | `S` | 0.00 | both ends | `2.1.270` |

## `30-sqpwall-ipm-a10.log` / `sqpwall-ipm-a10`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.01 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.00 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.00 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
| 968 | `S,Ss` | 0.00 | both ends | `systemd-logind` |
| 971 | `S` | 0.00 | both ends | `avahi-daemon` |
| 989 | `S,SNs` | 0.00 | both ends | `alsactl` |
| 997 | `S,Ssl` | 0.00 | both ends | `abrtd` |
| 1048 | `S,Ssl` | 0.00 | both ends | `ModemManager` |
| 1082 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1083 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1084 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1264 | `S,Ss` | 0.00 | both ends | `wpa_supplicant` |
| 1283 | `S,Ss` | 0.00 | both ends | `cupsd` |
| 1285 | `S,Ssl` | 0.00 | both ends | `gssproxy` |
| 1287 | `S,Ss` | 0.00 | both ends | `sshd` |
| 1289 | `S,Ssl` | 0.00 | both ends | `tailscaled` |
| 1291 | `S,Ssl` | 0.01 | both ends | `tuned` |
| 1302 | `S` | 0.00 | both ends | `dbus` |
| 1303 | `S` | 0.00 | both ends | `dbus` |
| 1369 | `S,Ssl` | 0.00 | both ends | `tuned-ppd` |
| 4117 | `S,Ssl` | 0.00 | both ends | `rsyslogd` |
| 4145 | `S,Ss` | 0.00 | both ends | `atd` |
| 4151 | `S,Ss` | 0.00 | both ends | `crond` |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 0.05 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.04 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.00 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.01 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 535548 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535605 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535606 | `S` | 0.00 | both ends | `systemd-userwor` |
| 536708 | `S` | 0.00 | both ends | `bash` |
| 536709 | `S` | 0.00 | both ends | `tail` |
| 536710 | `S` | 0.00 | both ends | `2.1.270` |

## `30-sqpwall-ipm-a11.log` / `sqpwall-ipm-a11`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.00 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.01 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.02 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
| 968 | `S,Ss` | 0.00 | both ends | `systemd-logind` |
| 971 | `S` | 0.00 | both ends | `avahi-daemon` |
| 989 | `S,SNs` | 0.00 | both ends | `alsactl` |
| 997 | `S,Ssl` | 0.00 | both ends | `abrtd` |
| 1048 | `S,Ssl` | 0.00 | both ends | `ModemManager` |
| 1082 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1083 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1084 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1264 | `S,Ss` | 0.00 | both ends | `wpa_supplicant` |
| 1283 | `S,Ss` | 0.00 | both ends | `cupsd` |
| 1285 | `S,Ssl` | 0.00 | both ends | `gssproxy` |
| 1287 | `S,Ss` | 0.00 | both ends | `sshd` |
| 1289 | `S,Ssl` | 0.00 | both ends | `tailscaled` |
| 1291 | `S,Ssl` | 0.00 | both ends | `tuned` |
| 1302 | `S` | 0.00 | both ends | `dbus` |
| 1303 | `S` | 0.00 | both ends | `dbus` |
| 1369 | `S,Ssl` | 0.00 | both ends | `tuned-ppd` |
| 4117 | `S,Ssl` | 0.00 | both ends | `rsyslogd` |
| 4145 | `S,Ss` | 0.00 | both ends | `atd` |
| 4151 | `S,Ss` | 0.00 | both ends | `crond` |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 0.04 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.03 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.00 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.02 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 535548 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535605 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535606 | `S` | 0.00 | both ends | `systemd-userwor` |
| 537775 | `S` | 0.00 | both ends | `bash` |
| 537776 | `S` | 0.00 | both ends | `tail` |
| 537777 | `S` | 0.00 | both ends | `2.1.270` |

## `30-sqpwall-ssn-a00.log` / `sqpwall-ssn-a00`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.00 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.00 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.01 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
| 968 | `S,Ss` | 0.00 | both ends | `systemd-logind` |
| 971 | `S` | 0.00 | both ends | `avahi-daemon` |
| 989 | `S,SNs` | 0.00 | both ends | `alsactl` |
| 997 | `S,Ssl` | 0.00 | both ends | `abrtd` |
| 1048 | `S,Ssl` | 0.00 | both ends | `ModemManager` |
| 1082 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1083 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1084 | `S,Ss` | 0.00 | both ends | `abrt-dump-journ` |
| 1264 | `S,Ss` | 0.00 | both ends | `wpa_supplicant` |
| 1283 | `S,Ss` | 0.00 | both ends | `cupsd` |
| 1285 | `S,Ssl` | 0.00 | both ends | `gssproxy` |
| 1287 | `S,Ss` | 0.00 | both ends | `sshd` |
| 1289 | `S,Ssl` | 0.01 | both ends | `tailscaled` |
| 1291 | `S,Ssl` | 0.00 | both ends | `tuned` |
| 1302 | `S` | 0.00 | both ends | `dbus` |
| 1303 | `S` | 0.00 | both ends | `dbus` |
| 1369 | `S,Ssl` | 0.00 | both ends | `tuned-ppd` |
| 4117 | `S,Ssl` | 0.00 | both ends | `rsyslogd` |
| 4145 | `S,Ss` | 0.00 | both ends | `atd` |
| 4151 | `S,Ss` | 0.00 | both ends | `crond` |
| 13428 | `S,Ssl` | 0.00 | both ends | `sddm` |
| 13430 | `S` | 0.00 | both ends | `sddm-helper` |
| 13431 | `S,Ssl` | 0.00 | both ends | `uresourced` |
| 13456 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13458 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13478 | `S,Ss+` | 0.00 | both ends | `sddm-helper-sta` |
| 13479 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13480 | `S,Sl+` | 0.04 | both ends | `kwin_wayland` |
| 13481 | `S` | 0.00 | both ends | `dbus-broker` |
| 13501 | `S,Sl+` | 0.03 | both ends | `sddm-greeter-qt` |
| 13521 | `S,S<sl` | 0.00 | both ends | `pipewire` |
| 13523 | `S,S<sl` | 0.00 | both ends | `wireplumber` |
| 13525 | `S,Sl+` | 0.00 | both ends | `plasma-keyboard` |
| 13755 | `S,Ss` | 0.00 | both ends | `systemd` |
| 13757 | `S` | 0.00 | both ends | `(sd-pam)` |
| 13787 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 13795 | `S` | 0.00 | both ends | `dbus-broker` |
| 83611 | `S,Ssl` | 0.00 | both ends | `node-22` |
| 83618 | `S,Sl` | 0.02 | both ends | `codex` |
| 84052 | `S,Sl` | 0.00 | both ends | `codex-code-mode` |
| 280258 | `S,Sl+` | 0.00 | both ends | `clangd.main` |
| 535548 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535605 | `S` | 0.00 | both ends | `systemd-userwor` |
| 535606 | `S` | 0.00 | both ends | `systemd-userwor` |
| 538321 | `S` | 0.00 | both ends | `bash` |
| 538322 | `S` | 0.00 | both ends | `tail` |
| 538323 | `S` | 0.00 | both ends | `2.1.270` |

## `30-sqpwall-ssn-a01.log` / `sqpwall-ssn-a01`  (2 snapshots)

| pid | states seen | delta (s) | presence | command |
|---|---|---|---|---|
| 631 | `S,Ss` | 0.00 | both ends | `systemd-journal` |
| 658 | `S,Ss` | 0.00 | both ends | `systemd-userdbd` |
| 669 | `S,Ss` | 0.00 | both ends | `systemd-resolve` |
| 672 | `S,Ss` | 0.00 | both ends | `systemd-udevd` |
| 871 | `S,S<sl` | 0.00 | both ends | `auditd` |
| 873 | `S,S<` | 0.00 | both ends | `sedispatch` |
| 903 | `S,Ss` | 0.00 | both ends | `dbus-broker-lau` |
| 911 | `S` | 0.00 | both ends | `dbus-broker` |
| 912 | `S,S<Ls` | 0.00 | both ends | `earlyoom` |
| 916 | `S,Ss` | 0.00 | both ends | `avahi-daemon` |
| 917 | `S,Ss` | 0.00 | both ends | `bluetoothd` |
| 923 | `S,Ssl` | 0.00 | both ends | `firewalld` |
| 924 | `S,Ssl` | 0.00 | both ends | `NetworkManager` |
| 926 | `S,Ssl` | 0.00 | both ends | `irqbalance` |
| 927 | `S,Ss` | 0.00 | both ends | `chronyd` |
| 931 | `S,Ssl` | 0.00 | both ends | `polkitd` |
| 935 | `S,SNsl` | 0.00 | both ends | `rtkit-daemon` |
| 937 | `S,Ss` | 0.00 | both ends | `smartd` |
| 939 | `S,Ssl` | 0.00 | both ends | `switcheroo-cont` |
| 943 | `S,Ssl` | 0.00 | both ends | `udisksd` |
| 944 | `S,Ssl` | 0.00 | both ends | `upowerd` |
| 964 | `S,Ssl` | 0.00 | both ends | `accounts-daemon` |
